procedure_code,procedure_name,department,category,standard_cost
CPT10082,Physical Therapy Procedure 82,General Surgery,Physical Therapy,145.31
CPT10083,Consultation Procedure 83,Cardiology,Consultation,259.04
CPT10084,Surgery - Minor Procedure 84,Pediatrics,Surgery - Minor,3315.77
CPT10085,Consultation Procedure 85,Obstetrics,Consultation,190.06
CPT10086,Diagnostic Imaging Procedure 86,Obstetrics,Diagnostic Imaging,990.86
CPT10087,Emergency Visit Procedure 87,Radiology,Emergency Visit,2159.48
CPT10088,Consultation Procedure 88,Internal Medicine,Consultation,233.29
CPT10089,Chemotherapy Session Procedure 89,Neurology,Chemotherapy Session,2459.37
CPT10090,Surgery - Minor Procedure 90,Oncology,Surgery - Minor,3253.05
CPT10091,Surgery - Major Procedure 91,Neurology,Surgery - Major,27138.87
CPT10092,Physical Therapy Procedure 92,Obstetrics,Physical Therapy,196.87
CPT10093,Consultation Procedure 93,Neurology,Consultation,132.78
CPT10094,Physical Therapy Procedure 94,General Surgery,Physical Therapy,238.15
CPT10095,Lab Test Procedure 95,Orthopedics,Lab Test,29.58
CPT10096,Diagnostic Imaging Procedure 96,Obstetrics,Diagnostic Imaging,983.85
CPT10097,Emergency Visit Procedure 97,Obstetrics,Emergency Visit,2774.7
CPT10098,Diagnostic Imaging Procedure 98,Orthopedics,Diagnostic Imaging,1475.15
CPT10099,Lab Test Procedure 99,Pediatrics,Lab Test,119.24
CPT10100,Lab Test Procedure 100,Orthopedics,Lab Test,284.08
CPT10101,Emergency Visit Procedure 101,Neurology,Emergency Visit,2072.39
CPT10102,Consultation Procedure 102,General Surgery,Consultation,293.97
CPT10103,Lab Test Procedure 103,Radiology,Lab Test,299.31
CPT10104,Surgery - Major Procedure 104,Pediatrics,Surgery - Major,29404.32
CPT10105,Physical Therapy Procedure 105,Emergency Medicine,Physical Therapy,177.16
CPT10106,Physical Therapy Procedure 106,Radiology,Physical Therapy,91.96
CPT10107,Surgery - Minor Procedure 107,Cardiology,Surgery - Minor,2158.93
CPT10108,Chemotherapy Session Procedure 108,Cardiology,Chemotherapy Session,4468.98
CPT10109,Lab Test Procedure 109,Cardiology,Lab Test,247.73
CPT10110,Lab Test Procedure 110,Cardiology,Lab Test,215.21
CPT10111,Surgery - Major Procedure 111,General Surgery,Surgery - Major,16527.38
CPT10112,Diagnostic Imaging Procedure 112,Radiology,Diagnostic Imaging,165.19
CPT10113,Diagnostic Imaging Procedure 113,Internal Medicine,Diagnostic Imaging,1316.16
CPT10114,Physical Therapy Procedure 114,Oncology,Physical Therapy,128.55
CPT10115,Physical Therapy Procedure 115,Pediatrics,Physical Therapy,236.31
CPT10116,Consultation Procedure 116,Emergency Medicine,Consultation,81.59
CPT10117,Emergency Visit Procedure 117,Neurology,Emergency Visit,2129.93
CPT10118,Chemotherapy Session Procedure 118,Obstetrics,Chemotherapy Session,8543.5
CPT10119,Surgery - Major Procedure 119,Cardiology,Surgery - Major,11976.37
CPT10120,Emergency Visit Procedure 120,Emergency Medicine,Emergency Visit,1756.44
CPT10121,Emergency Visit Procedure 121,Obstetrics,Emergency Visit,501.69
CPT10122,Surgery - Minor Procedure 122,Oncology,Surgery - Minor,4053.55
CPT10123,Emergency Visit Procedure 123,Emergency Medicine,Emergency Visit,2016.75
CPT10124,Surgery - Minor Procedure 124,Radiology,Surgery - Minor,2918.3
CPT10125,Emergency Visit Procedure 125,Emergency Medicine,Emergency Visit,1920.54
CPT10126,Surgery - Major Procedure 126,Cardiology,Surgery - Major,40862.99
CPT10127,Surgery - Minor Procedure 127,Oncology,Surgery - Minor,1820.73
CPT10128,Diagnostic Imaging Procedure 128,Neurology,Diagnostic Imaging,203.03
CPT10129,Surgery - Minor Procedure 129,Internal Medicine,Surgery - Minor,5280.66
CPT10130,Surgery - Minor Procedure 130,Orthopedics,Surgery - Minor,3801.01
CPT10131,Surgery - Major Procedure 131,Cardiology,Surgery - Major,40626.34
CPT10132,Surgery - Major Procedure 132,Obstetrics,Surgery - Major,28877.81
CPT10133,Surgery - Minor Procedure 133,Oncology,Surgery - Minor,5012.84
CPT10134,Chemotherapy Session Procedure 134,Radiology,Chemotherapy Session,4551.45
CPT10135,Lab Test Procedure 135,General Surgery,Lab Test,304.95
CPT10136,Chemotherapy Session Procedure 136,Oncology,Chemotherapy Session,8321.72
CPT10137,Surgery - Major Procedure 137,Obstetrics,Surgery - Major,27884.92
CPT10138,Chemotherapy Session Procedure 138,Orthopedics,Chemotherapy Session,2610.12
CPT10139,Chemotherapy Session Procedure 139,Orthopedics,Chemotherapy Session,3296.62
CPT10140,Consultation Procedure 140,Pediatrics,Consultation,129.63
CPT10141,Consultation Procedure 141,Internal Medicine,Consultation,142.89
CPT10142,Diagnostic Imaging Procedure 142,Obstetrics,Diagnostic Imaging,870.08
CPT10143,Emergency Visit Procedure 143,Orthopedics,Emergency Visit,2031.94
CPT10144,Surgery - Minor Procedure 144,Pediatrics,Surgery - Minor,3857.56
CPT10145,Lab Test Procedure 145,Pediatrics,Lab Test,182.07
CPT10146,Diagnostic Imaging Procedure 146,Pediatrics,Diagnostic Imaging,1596.24
CPT10147,Surgery - Minor Procedure 147,Oncology,Surgery - Minor,1224.19
CPT10148,Chemotherapy Session Procedure 148,Pediatrics,Chemotherapy Session,1884.75
CPT10149,Surgery - Major Procedure 149,Cardiology,Surgery - Major,11873.18
CPT10150,Consultation Procedure 150,Obstetrics,Consultation,217.47
CPT10151,Physical Therapy Procedure 151,Cardiology,Physical Therapy,111.36
CPT10152,Lab Test Procedure 152,General Surgery,Lab Test,127.65
CPT10153,Chemotherapy Session Procedure 153,Orthopedics,Chemotherapy Session,4322.44
CPT10154,Physical Therapy Procedure 154,Internal Medicine,Physical Therapy,254.85
CPT10155,Consultation Procedure 155,Pediatrics,Consultation,78.81
CPT10156,Chemotherapy Session Procedure 156,Radiology,Chemotherapy Session,6265.15
CPT10157,Emergency Visit Procedure 157,Radiology,Emergency Visit,2407.29
CPT10158,Emergency Visit Procedure 158,Orthopedics,Emergency Visit,2835.56
CPT10159,Physical Therapy Procedure 159,General Surgery,Physical Therapy,283.86
CPT10160,Surgery - Major Procedure 160,Radiology,Surgery - Major,5805.51
CPT10161,Chemotherapy Session Procedure 161,Cardiology,Chemotherapy Session,2399.51
CPT10162,Surgery - Minor Procedure 162,Emergency Medicine,Surgery - Minor,5408.09
CPT10163,Chemotherapy Session Procedure 163,Oncology,Chemotherapy Session,4776.44
CPT10164,Surgery - Major Procedure 164,Neurology,Surgery - Major,27583.63
CPT10165,Chemotherapy Session Procedure 165,Radiology,Chemotherapy Session,6371.61
CPT10166,Physical Therapy Procedure 166,Internal Medicine,Physical Therapy,222.98
CPT10167,Surgery - Major Procedure 167,Pediatrics,Surgery - Major,42269.62
CPT10168,Consultation Procedure 168,Internal Medicine,Consultation,349.16
CPT10169,Lab Test Procedure 169,Obstetrics,Lab Test,293.66
CPT10170,Surgery - Major Procedure 170,Oncology,Surgery - Major,16488.85
CPT10171,Chemotherapy Session Procedure 171,Cardiology,Chemotherapy Session,8062.07
CPT10172,Consultation Procedure 172,General Surgery,Consultation,88.54
CPT10173,Lab Test Procedure 173,Oncology,Lab Test,107.81
CPT10174,Emergency Visit Procedure 174,Neurology,Emergency Visit,3161.37
CPT10175,Surgery - Minor Procedure 175,Emergency Medicine,Surgery - Minor,2132.2
CPT10176,Physical Therapy Procedure 176,Radiology,Physical Therapy,112.96
CPT10177,Chemotherapy Session Procedure 177,General Surgery,Chemotherapy Session,2277.38
CPT10178,Chemotherapy Session Procedure 178,General Surgery,Chemotherapy Session,7901.07
CPT10179,Emergency Visit Procedure 179,Radiology,Emergency Visit,1850.19
CPT10180,Surgery - Minor Procedure 180,Radiology,Surgery - Minor,4309.44
CPT10181,Emergency Visit Procedure 181,Radiology,Emergency Visit,988.92
CPT10182,Diagnostic Imaging Procedure 182,Radiology,Diagnostic Imaging,1931.39
CPT10183,Emergency Visit Procedure 183,Radiology,Emergency Visit,2708.02
CPT10184,Consultation Procedure 184,General Surgery,Consultation,160.96
CPT10185,Lab Test Procedure 185,Orthopedics,Lab Test,176.06
CPT10186,Chemotherapy Session Procedure 186,Orthopedics,Chemotherapy Session,2835.58
CPT10187,Emergency Visit Procedure 187,Internal Medicine,Emergency Visit,3422.65
CPT10188,Chemotherapy Session Procedure 188,Orthopedics,Chemotherapy Session,6235.7
CPT10189,Surgery - Major Procedure 189,Neurology,Surgery - Major,42381.76
CPT10190,Surgery - Minor Procedure 190,Orthopedics,Surgery - Minor,2377.6
CPT10191,Emergency Visit Procedure 191,General Surgery,Emergency Visit,2780.24
CPT10192,Lab Test Procedure 192,Radiology,Lab Test,311.03
CPT10193,Consultation Procedure 193,Pediatrics,Consultation,265.21
CPT10194,Diagnostic Imaging Procedure 194,Pediatrics,Diagnostic Imaging,2419.25
CPT10195,Chemotherapy Session Procedure 195,Neurology,Chemotherapy Session,4269.73
CPT10196,Surgery - Minor Procedure 196,Obstetrics,Surgery - Minor,1479.73
CPT10197,Physical Therapy Procedure 197,General Surgery,Physical Therapy,221.21
CPT10198,Lab Test Procedure 198,Cardiology,Lab Test,297.14
CPT10199,Physical Therapy Procedure 199,Oncology,Physical Therapy,198.01
CPT10200,Lab Test Procedure 200,Internal Medicine,Lab Test,98.59
CPT10201,Lab Test Procedure 201,Cardiology,Lab Test,211.69
CPT10202,Consultation Procedure 202,General Surgery,Consultation,160.85
CPT10203,Consultation Procedure 203,Orthopedics,Consultation,192.55
CPT10204,Consultation Procedure 204,Radiology,Consultation,252.44
CPT10205,Emergency Visit Procedure 205,Cardiology,Emergency Visit,2659.21
CPT10206,Surgery - Major Procedure 206,Oncology,Surgery - Major,14288.99
CPT10207,Lab Test Procedure 207,Obstetrics,Lab Test,174.02
CPT10208,Surgery - Minor Procedure 208,Pediatrics,Surgery - Minor,2199.64
CPT10209,Physical Therapy Procedure 209,Obstetrics,Physical Therapy,107.67
CPT10210,Consultation Procedure 210,Oncology,Consultation,290.43
CPT10211,Emergency Visit Procedure 211,Radiology,Emergency Visit,3200.53
CPT10212,Consultation Procedure 212,Orthopedics,Consultation,176.81
CPT10213,Physical Therapy Procedure 213,Oncology,Physical Therapy,240.31
CPT10214,Physical Therapy Procedure 214,Internal Medicine,Physical Therapy,275.28
CPT10215,Chemotherapy Session Procedure 215,Oncology,Chemotherapy Session,7799.77
CPT10216,Lab Test Procedure 216,General Surgery,Lab Test,89.47
CPT10217,Consultation Procedure 217,Orthopedics,Consultation,337.98
CPT10218,Physical Therapy Procedure 218,Radiology,Physical Therapy,150.4
CPT10219,Surgery - Major Procedure 219,Pediatrics,Surgery - Major,18569.63
CPT10220,Surgery - Major Procedure 220,Pediatrics,Surgery - Major,7497.25
CPT10221,Consultation Procedure 221,Oncology,Consultation,208.7
CPT10222,Emergency Visit Procedure 222,General Surgery,Emergency Visit,559.74
CPT10223,Physical Therapy Procedure 223,Cardiology,Physical Therapy,119.65
CPT10224,Chemotherapy Session Procedure 224,Obstetrics,Chemotherapy Session,3672.15
CPT10225,Lab Test Procedure 225,Obstetrics,Lab Test,327.35
CPT10226,Lab Test Procedure 226,Obstetrics,Lab Test,352.69
CPT10227,Emergency Visit Procedure 227,Cardiology,Emergency Visit,1198.14
CPT10228,Chemotherapy Session Procedure 228,General Surgery,Chemotherapy Session,7897.85
CPT10229,Lab Test Procedure 229,Obstetrics,Lab Test,345.75
CPT10230,Chemotherapy Session Procedure 230,Internal Medicine,Chemotherapy Session,7164.28
CPT10231,Diagnostic Imaging Procedure 231,Cardiology,Diagnostic Imaging,494.73
CPT10232,Consultation Procedure 232,Cardiology,Consultation,264.84
CPT10233,Lab Test Procedure 233,Radiology,Lab Test,379.11
CPT10234,Surgery - Major Procedure 234,Radiology,Surgery - Major,32301.62
CPT10235,Physical Therapy Procedure 235,Orthopedics,Physical Therapy,139.59
CPT10236,Chemotherapy Session Procedure 236,Internal Medicine,Chemotherapy Session,5104.52
CPT10237,Chemotherapy Session Procedure 237,Internal Medicine,Chemotherapy Session,6236.66
CPT10238,Surgery - Minor Procedure 238,Orthopedics,Surgery - Minor,3454.97
CPT10239,Emergency Visit Procedure 239,Internal Medicine,Emergency Visit,595.84
CPT10240,Surgery - Minor Procedure 240,Neurology,Surgery - Minor,2422.73
CPT10241,Lab Test Procedure 241,Emergency Medicine,Lab Test,324.91
CPT10242,Surgery - Minor Procedure 242,Obstetrics,Surgery - Minor,5279.37
CPT10243,Surgery - Minor Procedure 243,Radiology,Surgery - Minor,1513.96
CPT10244,Diagnostic Imaging Procedure 244,Orthopedics,Diagnostic Imaging,2388.11
CPT10245,Chemotherapy Session Procedure 245,Orthopedics,Chemotherapy Session,3764.82
CPT10246,Surgery - Major Procedure 246,Internal Medicine,Surgery - Major,31492.55
CPT10247,Emergency Visit Procedure 247,Cardiology,Emergency Visit,2681.02
CPT10248,Surgery - Major Procedure 248,Pediatrics,Surgery - Major,37477.85
CPT10249,Diagnostic Imaging Procedure 249,Oncology,Diagnostic Imaging,2372.51
CPT10250,Diagnostic Imaging Procedure 250,Oncology,Diagnostic Imaging,885.36
CPT10251,Surgery - Minor Procedure 251,Orthopedics,Surgery - Minor,5264.23
CPT10252,Consultation Procedure 252,Obstetrics,Consultation,111.21
CPT10253,Chemotherapy Session Procedure 253,Neurology,Chemotherapy Session,6699.32
CPT10254,Physical Therapy Procedure 254,Obstetrics,Physical Therapy,238.07
CPT10255,Chemotherapy Session Procedure 255,Orthopedics,Chemotherapy Session,6486.24
CPT10256,Physical Therapy Procedure 256,Obstetrics,Physical Therapy,120.56
CPT10257,Surgery - Minor Procedure 257,Radiology,Surgery - Minor,5339.82
CPT10258,Physical Therapy Procedure 258,Obstetrics,Physical Therapy,100.53
CPT10259,Diagnostic Imaging Procedure 259,Internal Medicine,Diagnostic Imaging,276.04
CPT10260,Surgery - Major Procedure 260,Internal Medicine,Surgery - Major,33698.6
CPT10261,Physical Therapy Procedure 261,Neurology,Physical Therapy,174.11
CPT10262,Chemotherapy Session Procedure 262,Radiology,Chemotherapy Session,7822.96
CPT10263,Emergency Visit Procedure 263,Pediatrics,Emergency Visit,1465.21
CPT10264,Surgery - Minor Procedure 264,Cardiology,Surgery - Minor,1675.05
CPT10265,Consultation Procedure 265,Radiology,Consultation,305.02
CPT10266,Surgery - Minor Procedure 266,General Surgery,Surgery - Minor,3654.33
CPT10267,Lab Test Procedure 267,Emergency Medicine,Lab Test,91.89
CPT10268,Surgery - Minor Procedure 268,Orthopedics,Surgery - Minor,4546.0
CPT10269,Diagnostic Imaging Procedure 269,General Surgery,Diagnostic Imaging,1351.12
CPT10270,Surgery - Major Procedure 270,Neurology,Surgery - Major,29172.52
CPT10271,Surgery - Major Procedure 271,General Surgery,Surgery - Major,23435.93
CPT10272,Emergency Visit Procedure 272,Internal Medicine,Emergency Visit,2934.74
CPT10273,Physical Therapy Procedure 273,Obstetrics,Physical Therapy,259.1
CPT10274,Diagnostic Imaging Procedure 274,Cardiology,Diagnostic Imaging,1817.06
CPT10275,Lab Test Procedure 275,Oncology,Lab Test,60.05
CPT10276,Diagnostic Imaging Procedure 276,Orthopedics,Diagnostic Imaging,2121.31
CPT10277,Surgery - Minor Procedure 277,Oncology,Surgery - Minor,4289.27
CPT10278,Diagnostic Imaging Procedure 278,Obstetrics,Diagnostic Imaging,1788.01
CPT10279,Diagnostic Imaging Procedure 279,Internal Medicine,Diagnostic Imaging,1003.01
CPT10280,Emergency Visit Procedure 280,Internal Medicine,Emergency Visit,3101.62
CPT10281,Lab Test Procedure 281,Obstetrics,Lab Test,295.64
CPT10282,Surgery - Minor Procedure 282,Orthopedics,Surgery - Minor,1385.47
CPT10283,Consultation Procedure 283,Oncology,Consultation,187.14
CPT10284,Emergency Visit Procedure 284,Radiology,Emergency Visit,3125.06
CPT10285,Consultation Procedure 285,Internal Medicine,Consultation,87.98
CPT10286,Emergency Visit Procedure 286,Oncology,Emergency Visit,3372.67
CPT10287,Surgery - Major Procedure 287,Pediatrics,Surgery - Major,32166.5
CPT10288,Chemotherapy Session Procedure 288,Oncology,Chemotherapy Session,6124.73
CPT10289,Emergency Visit Procedure 289,Pediatrics,Emergency Visit,1092.85
CPT10290,Physical Therapy Procedure 290,Pediatrics,Physical Therapy,119.71
CPT10291,Diagnostic Imaging Procedure 291,Internal Medicine,Diagnostic Imaging,2363.84
CPT10292,Surgery - Major Procedure 292,Orthopedics,Surgery - Major,16930.9
CPT10293,Lab Test Procedure 293,Neurology,Lab Test,314.69
CPT10294,Consultation Procedure 294,Internal Medicine,Consultation,183.11
CPT10295,Chemotherapy Session Procedure 295,Orthopedics,Chemotherapy Session,2286.18
CPT10296,Chemotherapy Session Procedure 296,Orthopedics,Chemotherapy Session,1283.58
CPT10297,Emergency Visit Procedure 297,General Surgery,Emergency Visit,1996.05
CPT10298,Diagnostic Imaging Procedure 298,Obstetrics,Diagnostic Imaging,2443.08
CPT10299,Lab Test Procedure 299,Obstetrics,Lab Test,160.27
CPT10300,Physical Therapy Procedure 300,Obstetrics,Physical Therapy,145.73
CPT10301,Lab Test Procedure 301,Emergency Medicine,Lab Test,150.75
CPT10302,Diagnostic Imaging Procedure 302,Internal Medicine,Diagnostic Imaging,1373.28
CPT10303,Physical Therapy Procedure 303,Orthopedics,Physical Therapy,165.76
CPT10304,Lab Test Procedure 304,General Surgery,Lab Test,354.37
CPT10305,Physical Therapy Procedure 305,Pediatrics,Physical Therapy,181.32
CPT10306,Emergency Visit Procedure 306,Neurology,Emergency Visit,1875.6
CPT10307,Emergency Visit Procedure 307,Neurology,Emergency Visit,656.63
CPT10308,Diagnostic Imaging Procedure 308,Pediatrics,Diagnostic Imaging,2459.44
CPT10309,Diagnostic Imaging Procedure 309,Oncology,Diagnostic Imaging,737.44
CPT10310,Physical Therapy Procedure 310,Oncology,Physical Therapy,77.61
CPT10311,Surgery - Minor Procedure 311,Obstetrics,Surgery - Minor,4248.36
CPT10312,Surgery - Major Procedure 312,Internal Medicine,Surgery - Major,28814.65
CPT10313,Chemotherapy Session Procedure 313,Emergency Medicine,Chemotherapy Session,4438.14
CPT10314,Lab Test Procedure 314,General Surgery,Lab Test,180.43
CPT10315,Lab Test Procedure 315,Neurology,Lab Test,318.32
CPT10316,Surgery - Minor Procedure 316,Obstetrics,Surgery - Minor,1817.71
CPT10317,Surgery - Minor Procedure 317,Cardiology,Surgery - Minor,5065.32
CPT10318,Surgery - Minor Procedure 318,Obstetrics,Surgery - Minor,4173.48
CPT10319,Consultation Procedure 319,Cardiology,Consultation,190.22
CPT10320,Consultation Procedure 320,Radiology,Consultation,200.96
CPT10321,Physical Therapy Procedure 321,Orthopedics,Physical Therapy,121.6
CPT10322,Consultation Procedure 322,Pediatrics,Consultation,281.83
CPT10323,Emergency Visit Procedure 323,Orthopedics,Emergency Visit,1892.49
CPT10324,Emergency Visit Procedure 324,Obstetrics,Emergency Visit,1258.82
CPT10325,Diagnostic Imaging Procedure 325,Orthopedics,Diagnostic Imaging,1550.72
CPT10326,Chemotherapy Session Procedure 326,General Surgery,Chemotherapy Session,8966.73
CPT10327,Physical Therapy Procedure 327,Radiology,Physical Therapy,164.46
CPT10328,Chemotherapy Session Procedure 328,Emergency Medicine,Chemotherapy Session,8381.39
CPT10329,Lab Test Procedure 329,Radiology,Lab Test,151.11
CPT10330,Surgery - Major Procedure 330,Neurology,Surgery - Major,7189.31
CPT10331,Diagnostic Imaging Procedure 331,General Surgery,Diagnostic Imaging,629.97
CPT10332,Lab Test Procedure 332,Orthopedics,Lab Test,179.1
CPT10333,Lab Test Procedure 333,Emergency Medicine,Lab Test,103.46
CPT10334,Physical Therapy Procedure 334,Orthopedics,Physical Therapy,60.05
CPT10335,Surgery - Minor Procedure 335,Internal Medicine,Surgery - Minor,5558.01
CPT10336,Surgery - Minor Procedure 336,Internal Medicine,Surgery - Minor,5188.17
CPT10337,Chemotherapy Session Procedure 337,Oncology,Chemotherapy Session,6989.88
CPT10338,Diagnostic Imaging Procedure 338,Radiology,Diagnostic Imaging,544.36
CPT10339,Surgery - Minor Procedure 339,Emergency Medicine,Surgery - Minor,1425.89
CPT10340,Lab Test Procedure 340,Internal Medicine,Lab Test,45.69
CPT10341,Surgery - Minor Procedure 341,Oncology,Surgery - Minor,4564.95
CPT10342,Consultation Procedure 342,General Surgery,Consultation,330.42
CPT10343,Surgery - Minor Procedure 343,Emergency Medicine,Surgery - Minor,3038.79
CPT10344,Lab Test Procedure 344,Oncology,Lab Test,65.27
CPT10345,Chemotherapy Session Procedure 345,Pediatrics,Chemotherapy Session,5196.66
CPT10346,Physical Therapy Procedure 346,Emergency Medicine,Physical Therapy,143.72
CPT10347,Diagnostic Imaging Procedure 347,Obstetrics,Diagnostic Imaging,1030.84
CPT10348,Surgery - Major Procedure 348,Oncology,Surgery - Major,29853.22
CPT10349,Surgery - Minor Procedure 349,Orthopedics,Surgery - Minor,4537.33
CPT10350,Emergency Visit Procedure 350,Obstetrics,Emergency Visit,564.99
CPT10351,Emergency Visit Procedure 351,Pediatrics,Emergency Visit,317.45
CPT10352,Chemotherapy Session Procedure 352,Internal Medicine,Chemotherapy Session,8955.78
CPT10353,Lab Test Procedure 353,Cardiology,Lab Test,108.44
